episode,step,x,z,evaded
1,0,130.7662,82.00222,False
1,1,133.8006,16.03377,False
1,2,139.0448,-67.57683,False
1,3,143.8952,-144.9128,False
1,4,144.4195,-153.2728,False
1,5,117.3357,-180.6056,False
1,6,89.35664,-177.2242,False
1,7,-18.95647,-240.5118,False
1,8,-78.05293,-290.6321,False
1,9,-127.5983,-229.6044,False
1,10,-216.8897,-267.7941,False
1,11,-292.3285,-299.0995,False
1,12,-429.6647,-356.0931,False
1,13,-505.1126,-387.4103,True
1,13,-477.7481,-436.4472,True
1,13,-510.2938,-338.8786,False
1,14,-545.6576,-379.6312,True
1,14,-582.9244,-344.2432,False
1,15,-610.9816,-400.8794,True
1,15,-561.1111,-410.3679,False
1,16,-502.2518,-443.2424,False
1,17,-482.6125,-511.5365,True
1,17,-441.4417,-471.8047,False
1,18,-373.3224,-458.4525,False
1,19,-379.8301,-386.1258,False
1,20,-343.2109,-339.8448,False
1,21,-293.4282,-275.0933,False
1,22,-244.9188,-212.0009,False
1,23,-215.5523,-173.8088,False
1,24,-163.2135,-105.7428,False
1,25,-93.84386,-101.7202,False
1,26,-26.98938,-97.0438,False
1,27,25.24168,-93.38584,False
1,28,110.902,-87.38054,False
1,29,177.7527,-82.68587,False
1,30,236.2502,-78.57744,False
1,31,321.9071,-72.55683,False
1,32,363.9172,-22.62842,False
1,33,362.3603,42.28764,False
1,34,353.295,127.673,False
1,35,345.5566,200.569,False
1,36,337.8196,273.4594,False
1,37,384.9139,330.0627,False
1,38,429.8773,385.2787,True
1,38,370.8885,401.0056,False
1,39,416.3981,458.922,True
1,39,438.7897,423.0951,True
1,39,364.4957,473.7808,False
1,40,425.9233,491.3316,True
1,40,401.1636,528.3662,True
1,40,362.4986,547.5739,False
1,41,423.3591,555.6251,True
1,41,389.4706,590.1365,True
1,41,355.3965,618.0284,True
1,41,286.7411,562.1092,False
1,42,235.5007,512.1279,False
1,43,183.9572,463.0009,False
1,44,147.5716,428.3262,False
1,45,139.4966,341.829,False
1,46,144.0657,270.7756,False
1,47,148.7696,197.6254,False
1,48,153.7414,120.3085,False
1,49,157.9077,55.5189,False
1,50,114.1247,4.376122,False
1,51,75.14854,-42.20345,False
1,52,-5.491988,-138.5751,False
1,53,-20.04019,-141.6304,False
1,54,-120.9497,-188.5902,False
1,55,-192.1099,-193.7835,False
1,56,-263.3114,-193.8098,False
1,57,-334.5151,-193.8365,False
1,58,-395.2487,-193.8621,False
1,59,-440.1102,-241.2893,False
1,60,-491.1804,-302.3265,False
1,61,-534.1868,-353.7245,False
1,62,-527.1167,-415.7426,True
1,62,-490.5863,-396.1785,False
1,63,-474.6474,-478.1369,True
1,63,-436.5561,-447.1507,False
1,64,-417.5067,-528.7574,False
1,65,-477.5579,-538.1597,True
1,65,-456.1944,-580.4937,True
1,65,-354.3066,-559.3472,False
1,66,-386.5897,-602.0579,True
1,66,-282.803,-537.1779,False
1,67,-215.9145,-519.7859,False
1,68,-151.0558,-502.9153,False
1,69,-72.00919,-482.351,False
1,70,-3.096646,-464.4166,False
1,71,61.76048,-447.5377,False
1,72,124.5864,-431.1871,False
1,73,181.3391,-416.4169,False
1,74,264.4415,-394.789,False
2,0,98.99904,138.4994,False
2,1,101.1533,199.1895,False
2,2,160.9386,200.1309,False
2,3,196.2204,167.0269,False
2,4,253.5803,100.3413,False
2,5,308.2104,36.82471,False
2,6,354.6407,-17.16438,False
2,7,403.8023,-74.3279,False
2,8,450.234,-128.317,False
2,9,480.2788,-163.2518,False
2,10,547.1921,-241.0562,False
3,0,152.1994,158.6171,False
3,1,167.2695,243.1514,False
3,2,231.6181,279.0866,False
3,3,244.9164,338.7114,False
3,4,307.972,376.9595,False
3,5,322.2179,440.6875,False
3,6,335.7326,497.7472,False
3,7,355.0407,579.2643,False
3,8,371.454,648.5517,True
3,8,416.1693,610.7502,True
3,8,334.6873,633.9254,True
3,8,438.7526,570.9142,False
3,9,472.3522,500.5929,False
3,10,451.6189,452.103,False
3,11,413.5459,359.0649,False
3,12,385.785,291.2265,False
3,13,358.0235,223.3842,False
3,14,333.4341,163.2936,False
3,15,286.4066,144.629,False
3,16,205.1545,110.9274,False
3,17,150.9899,88.46423,False
3,18,79.40543,58.78264,False
3,19,21.36804,34.7204,False
3,20,-6.386989,-35.05602,False
3,21,-27.71563,-102.9951,False
3,22,-50.2978,-174.9301,False
3,23,-71.62409,-242.8646,False
3,24,-92.32424,-308.804,False
3,25,-113.6514,-376.7406,False
3,26,-132.4696,-436.6864,False
3,27,-192.6642,-471.9717,False
3,28,-250.3289,-501.8151,False
3,29,-313.5653,-534.5429,False
3,30,-376.8051,-567.2796,False
3,31,-440.0424,-600.0206,False
3,32,-490.253,-626.022,True
3,32,-454.9166,-668.6577,True
3,32,-498.4294,-568.0891,True
3,32,-419.642,-653.5385,True
3,32,-450.2614,-533.8079,False
3,33,-380.3706,-493.9097,False
3,34,-327.0793,-469.4503,False
3,35,-250.9382,-434.5026,False
3,36,-186.2235,-404.7994,False
3,37,-121.5055,-375.0948,False
3,38,-58.69224,-346.2653,False
3,39,-5.396065,-321.8041,False
3,40,19.17362,-253.0635,False
3,41,37.39104,-186.3948,False
3,42,51.7428,-133.8676,False
3,43,70.50941,-65.17551,False
3,44,89.82573,5.532375,False
3,45,110.245,80.28289,False
3,46,168.3023,110.1048,False
3,47,233.085,144.4039,False
3,48,296.0151,177.7276,False
3,49,353.3882,208.1193,False
3,50,412.6061,239.4935,False
3,51,479.2298,274.7896,False
3,52,492.8848,342.9465,False
3,53,507.7192,412.5883,True
3,53,548.0208,383.2481,True
3,53,463.715,403.0064,False
3,54,476.7837,479.3613,True
3,54,429.6342,482.5681,False
3,55,440.4879,505.6575,True
3,55,411.1793,517.272,False
3,56,485.2803,522.632,True
3,56,457.1981,572.9377,True
3,56,389.6213,584.7997,False
3,57,462.4019,600.4577,True
3,57,420.9417,634.0515,True
3,57,378.43,662.7261,True
3,57,322.9585,574.5951,False
3,58,294.06,513.6616,False
3,59,257.1923,438.4401,False
3,60,281.0321,377.6775,False
3,61,245.2135,315.6753,False
3,62,211.3458,255.4313,False
3,63,176.4497,193.36,False
3,64,153.8722,153.1997,False
3,65,115.8973,85.65046,False
3,66,81.00166,23.57844,False
3,67,44.05271,-42.14603,False
3,68,-12.57886,-48.58118,False
3,69,-95.65879,-59.33486,False
3,70,-162.123,-67.94182,False
3,71,-234.8171,-77.35822,False
3,72,-301.2871,-85.96707,False
3,73,-376.0572,-95.65121,False
3,74,-430.0603,-102.646,False
3,75,-498.5919,-111.5223,False
3,76,-506.4426,-183.2545,False
3,77,-500.7619,-254.2327,False
3,78,-550.4602,-296.7048,False
3,79,-554.5323,-361.2267,True
3,79,-516.1507,-348.2106,False
3,80,-472.9724,-396.6978,False
3,81,-415.871,-460.8216,False
3,82,-375.4811,-506.1782,False
3,83,-416.4203,-559.1887,True
3,83,-309.4094,-546.1024,False
3,84,-361.0713,-615.8083,True
3,84,-285.0917,-524.0477,False
3,85,-280.6926,-443.0133,False
3,86,-287.1946,-374.2059,False
3,87,-293.8938,-303.313,False
3,88,-234.2745,-299.2357,False
3,89,-177.9334,-294.3399,False
3,90,-106.9962,-288.175,False
3,91,-17.27703,-280.3777,False
3,92,49.48986,-274.576,False
3,93,124.6039,-268.0483,False
3,94,187.2011,-262.6087,False
3,95,272.7457,-255.1741,False
3,96,347.8511,-248.6471,False
3,97,339.7601,-174.6721,False
3,98,333.262,-105.8693,False
3,99,326.9604,-39.15163,False
3,100,320.0677,33.82604,False
3,101,314.3554,94.29687,False
3,102,306.6745,175.6091,False
3,103,299.9781,246.4981,False
3,104,293.0846,319.4738,False
3,105,344.379,383.4344,False
3,106,411.7898,384.6439,False
3,107,487.1456,386.941,True
3,107,456.2071,422.4687,True
3,107,417.9499,456.5236,True
3,107,473.7729,333.1807,False
3,108,428.5802,285.1133,False
3,109,470.8786,239.7855,False
3,110,476.2226,183.1826,False
3,111,426.2099,113.1181,False
3,112,381.1171,63.54349,False
3,113,337.4305,15.51835,False
3,114,293.741,-32.50793,False
3,115,247.2332,-83.62946,False
3,116,177.8214,-79.9304,False
3,117,104.5856,-76.92483,False
3,118,52.2755,-74.78133,False
3,119,-35.61575,-71.17998,False
3,120,-78.63049,-114.5539,False
3,121,-140.6034,-115.7279,False
3,122,-209.8571,-167.6235,False
3,123,-260.6828,-220.4472,False
3,124,-253.0545,-283.2101,False
3,125,-286.4164,-323.1555,False
3,126,-345.1047,-391.4682,False
3,127,-390.1409,-443.8869,False
3,128,-381.6659,-514.9424,False
3,129,-454.9228,-527.5091,True
3,129,-431.9448,-571.0034,True
3,129,-374.8141,-583.8259,False
3,130,-412.6716,-631.8558,True
3,130,-428.2683,-597.1787,True
3,130,-364.8741,-645.2524,True
3,130,-305.6676,-570.1973,False
3,131,-241.4057,-560.9257,False
3,132,-202.7491,-500.6868,False
3,133,-131.5255,-493.3039,False
3,134,-92.87444,-433.0209,False
3,135,-22.11312,-413.4295,False
3,136,45.62619,-399.7148,False
3,137,113.3667,-386.0018,False
3,138,100.8639,-331.8575,False
3,139,84.06844,-251.9244,False
3,140,70.28802,-186.3375,False
3,141,56.50764,-120.7485,False
3,142,98.57451,-65.44399,False
3,143,147.2446,0.13946,False
3,144,203.6471,7.48305,False
3,145,286.5541,19.43787,False
3,146,357.0304,29.6005,False
3,147,421.2911,38.86665,False
3,148,495.9117,49.62645,False
3,149,562.2396,59.19085,False
4,0,162.9741,-108.0621,False
4,1,154.4839,-38.25724,False
4,2,220.3071,-32.89431,False
4,3,224.18,29.4328,False
4,4,222.3947,115.2799,False
4,5,221.0013,182.2873,False
4,6,219.6951,245.1031,False
4,7,268.3273,300.3331,False
4,8,317.5876,357.4125,False
4,9,361.3751,408.1451,False
4,10,420.3912,408.1024,True
4,10,397.4946,449.9063,True
4,10,397.3197,355.1164,False
4,11,439.4568,311.3722,False
4,12,493.2133,255.5619,False
4,13,449.9603,208.5966,False
4,14,492.954,170.2151,False
4,15,549.768,117.5153,False
4,16,598.901,71.94155,True
4,16,543.55,43.28746,False
4,17,541.1082,-4.822251,False
4,18,536.8622,-88.48597,False
4,19,533.2534,-159.6008,False
4,20,529.9634,-224.4403,False
5,0,-203.3156,-100.934,False
5,1,-153.4612,-133.6457,False
5,2,-127.7654,-206.793,False
5,3,-67.44092,-245.246,False
5,4,-57.46893,-318.2458,False
5,5,2.346131,-349.4413,False
5,6,63.19667,-382.198,False
5,7,120.3623,-412.9706,False
5,8,195.9732,-453.6721,False
5,9,258.6694,-487.4223,False
6,0,178.0517,-35.12299,False
6,1,128.2623,-47.9887,False
6,2,70.50635,-104.154,False
6,3,37.92415,-150.3723,False
6,4,-39.62888,-168.736,False
6,5,-93.32051,-177.814,False
6,6,-151.262,-239.6439,False
6,7,-191.4147,-293.3042,False
6,8,-231.5693,-346.9643,False
6,9,-290.4485,-351.028,False
6,10,-338.8018,-397.8307,False
6,11,-421.9373,-401.545,True
6,11,-407.8742,-445.6874,True
6,11,-378.9087,-357.4037,False
6,12,-440.4871,-373.6064,False
6,13,-493.625,-403.0232,True
6,13,-509.7049,-356.8889,False
6,14,-525.8705,-425.3037,True
6,14,-557.7627,-384.5464,True
6,14,-589.6492,-343.7985,False
6,15,-603.2241,-401.9611,True
6,15,-636.8349,-372.7422,True
6,15,-574.626,-275.5321,False
6,16,-520.3218,-243.3163,False
6,17,-472.04,-213.8819,False
6,18,-391.3412,-228.0529,False
6,19,-337.2819,-244.6497,False
6,20,-285.7388,-215.9151,False
6,21,-211.9684,-168.0119,False
6,22,-157.5192,-132.655,False
6,23,-104.8233,-98.43272,False
6,24,-39.84337,-56.22733,False
6,25,-29.69404,16.75117,False
6,26,-18.78716,89.23734,False
6,27,-8.191897,159.6507,False
6,28,2.714463,232.1314,False
6,29,12.37453,296.334,False
6,30,22.96885,366.7438,False
6,31,70.99192,400.9639,False
6,32,123.3664,439.3396,False
6,33,189.9365,435.3187,False
6,34,259.6451,460.7729,False
6,35,329.8004,498.3504,True
6,35,324.7686,436.9002,False
6,36,353.2397,362.1061,False
