episode,step,x,z,evaded
1,0,21.03994,125.6046,False
1,1,45.77472,68.85023,False
1,2,107.4031,42.50053,False
1,3,140.6566,-13.42926,False
1,4,175.7695,-84.85376,False
1,5,206.2622,-146.8797,False
1,6,266.5725,-157.1992,False
1,7,340.6892,-170.9928,False
1,8,406.5815,-183.2538,False
1,9,438.9437,-242.3978,False
2,0,-140.5952,-16.42105,False
2,1,-74.62967,-59.57401,False
2,2,-54.38586,-123.8799,False
2,3,9.860781,-144.472,False
2,4,31.27757,-75.39005,False
2,5,55.34644,-1.733682,False
2,6,126.0002,25.68578,False
2,7,151.2683,92.6384,False
2,8,212.003,110.3072,False
2,9,248.7132,172.0831,False
2,10,281.9041,235.08,False
2,11,317.0473,301.7843,False
2,12,344.3823,353.6674,False
2,13,375.622,412.9619,False
2,14,415.6442,488.9255,True
2,14,458.1227,440.8074,True
2,14,365.1863,480.9218,False
2,15,380.5463,556.2266,True
2,15,413.2332,522.9257,True
2,15,317.2121,548.6752,False
2,16,332.773,603.4545,True
2,16,361.2595,580.3738,True
2,16,271.7295,597.5994,True
2,16,242.3856,541.6942,False
2,17,244.0488,611.9272,True
2,17,208.8198,578.7979,False
2,18,244.477,639.1718,True
2,18,208.1061,675.5036,True
2,18,161.1759,649.7286,True
2,18,128.0399,614.118,False
2,19,136.5918,675.4102,True
2,19,87.55399,661.1052,True
2,19,64.91491,615.5393,False
2,20,64.57173,690.4464,True
2,20,13.46663,679.3795,True
2,20,-17.10889,627.2702,False
2,21,-65.26992,625.9488,False
2,22,-161.561,623.3042,False
2,23,-239.0175,621.1716,False
2,24,-316.4796,619.0361,False
2,25,-389.7538,617.0152,True
2,25,-361.9845,566.5515,True
2,25,-368.2685,652.6197,True
2,25,-318.1644,535.469,False
2,26,-372.527,495.4722,True
2,26,-320.9507,481.778,False
2,27,-374.3063,424.1989,False
2,28,-415.813,388.9536,False
2,29,-429.1029,320.5099,False
2,30,-432.9357,243.1142,False
2,31,-436.6645,167.8072,False
2,32,-440.1862,96.68867,False
2,33,-443.0864,38.11776,False
2,34,-447.0224,-41.37021,False
2,35,-450.7512,-116.6749,False
2,36,-454.2728,-187.7976,False
