red_t,green_t,blue_t,action,red_t1,green_t1,blue_t1
847.2563148190192,848.5094084809579,848.5487726469852,0,931.0333332650657,771.9964427707287,932.4671973054382
931.0333332650657,771.9964427707287,932.4671973054382,45,994.1980541115565,734.8264086158074,984.8758222228859
994.1980541115565,734.8264086158074,984.8758222228859,90,992.1793964092793,732.1860109692631,986.7790550366793
992.1793964092793,732.1860109692631,986.7790550366793,45,1000.8464974909401,795.1272800878376,928.4130974624833
1000.8464974909401,795.1272800878376,928.4130974624833,0,1011.8962991303617,916.1646970898422,811.647386611774
1011.8962991303617,916.1646970898422,811.647386611774,-45,1031.0233817519857,981.3904124859284,752.3826245463813
1031.0233817519857,981.3904124859284,752.3826245463813,45,1058.49419785429,1053.7699944917756,688.8217526263212
1058.49419785429,1053.7699944917756,688.8217526263212,45,1068.6815343612834,1125.5410742770728,616.5564871808477
1068.6815343612834,1125.5410742770728,616.5564871808477,0,1075.0996734364771,1228.299127990906,505.76265957781027
1075.0996734364771,1228.299127990906,505.76265957781027,-45,1094.5302414560915,1303.3811911570344,429.8359331907117
1094.5302414560915,1303.3811911570344,429.8359331907117,-90,1092.1723087065566,1304.6299827558043,427.1430110693724
1092.1723087065566,1304.6299827558043,427.1430110693724,0,1181.3663138076565,1305.8390281345899,485.2195867846742
1181.3663138076565,1305.8390281345899,485.2195867846742,-90,1192.5162269454659,1308.2442553010696,491.4483813466578
1192.5162269454659,1308.2442553010696,491.4483813466578,-90,1194.8590321030217,1312.1710050897216,488.79724487579716
1194.8590321030217,1312.1710050897216,488.79724487579716,45,1133.414590525872,1284.6944204817462,474.8820422135691
1133.414590525872,1284.6944204817462,474.8820422135691,0,1015.5317685329445,1220.605707384514,490.26455399064895
1015.5317685329445,1220.605707384514,490.26455399064895,90,1006.6136071621573,1219.7953574776427,488.52856019275885
1006.6136071621573,1219.7953574776427,488.52856019275885,45,1028.7440025667222,1178.0215884341849,541.4847576959115
1028.7440025667222,1178.0215884341849,541.4847576959115,90,1028.7231965218632,1172.0540154200062,548.0112909987896
1028.7231965218632,1172.0540154200062,548.0112909987896,90,1025.8816259938862,1165.9590689864974,553.6070000928999
1025.8816259938862,1165.9590689864974,553.6070000928999,-45,989.6796126892883,1199.9406217696023,505.6203079117966
989.6796126892883,1199.9406217696023,505.6203079117966,0,950.7127427257931,1275.0280307433245,422.0303296934949
950.7127427257931,1275.0280307433245,422.0303296934949,0,920.1231448621484,1365.8127110665687,344.7732613051801
920.1231448621484,1365.8127110665687,344.7732613051801,90,922.687918364541,1375.0560260207183,336.7987450925107
922.687918364541,1375.0560260207183,336.7987450925107,0,821.8482243877941,1300.1447088418158,435.13568450469563
821.8482243877941,1300.1447088418158,435.13568450469563,90,810.5275115607736,1295.7754307737512,443.9732052690793
810.5275115607736,1295.7754307737512,443.9732052690793,45,847.484612139837,1264.4531497108976,450.22439717746306
847.484612139837,1264.4531497108976,450.22439717746306,45,900.4072555068678,1250.6726293356749,449.12825091437963
900.4072555068678,1250.6726293356749,449.12825091437963,90,904.4306868519278,1246.6654351988147,452.3657671834265
904.4306868519278,1246.6654351988147,452.3657671834265,45,918.0298909217989,1312.763223367371,389.50327421716236
918.0298909217989,1312.763223367371,389.50327421716236,-90,915.5838703370271,1313.4814439577476,389.3976677142918
915.5838703370271,1313.4814439577476,389.3976677142918,0,1022.5252732483095,1347.2994672423538,353.30725216379295
1022.5252732483095,1347.2994672423538,353.30725216379295,90,1029.3577648812,1345.7421625709808,356.39019083193074
1029.3577648812,1345.7421625709808,356.39019083193074,-90,1027.5027282148694,1341.8997639499755,360.1911943523884
1027.5027282148694,1341.8997639499755,360.1911943523884,45,1090.6438450849344,1375.992237195272,342.9385904526494
1090.6438450849344,1375.992237195272,342.9385904526494,45,1159.4511427759085,1431.0225408722115,317.61573085154333
1159.4511427759085,1431.0225408722115,317.61573085154333,-45,1221.0081711867163,1483.0068354882014,305.3238184366395
1221.0081711867163,1483.0068354882014,305.3238184366395,45,1290.3981573460378,1539.933857177655,310.3946592357059
1290.3981573460378,1539.933857177655,310.3946592357059,-90,1292.7827421701181,1544.4856808830862,307.74550923269373
1292.7827421701181,1544.4856808830862,307.74550923269373,-45,1299.558662838046,1503.6966709271555,364.76721091322065
1299.558662838046,1503.6966709271555,364.76721091322065,-90,1302.3859442512617,1498.7534112665933,373.9674154030669
